card_no,bird_name,bird_name_ko,tts_text,voice_tag,review_status,source_file_name,source_vo_id,source_transcript,source_score
280,Count Raggis Bird Of Paradise,크아우느트르아그그이스브어드오프프아르아드이스에새,크아우느트르아그그이스브어드오프프아르아드이스에새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,280_Count_Raggis_Bird_of_Paradise_VO_1.wav,1,Count Raggis Bird of Paradise. A bird of paradise is featured on the flag of Papua New Guinea.,75
281,Crested Pigeon,볏비둘기,볏비둘기입니다. 부드러운 울음소리와 씨앗을 먹는 습성이 잘 알려진 새입니다.,Jean,draft,281_Crested_Pigeon_VO_1.wav,1,"Crested Pigeon. Taking advantage of grain farming, this gregarious pigeon has greatly expanded its range in Australia.",75
282,Crimson Chat,크르이므스오느챗,크르이므스오느챗입니다. 무리를 이루면 풍경이 달라집니다. 한 마리가 아니라 하늘을 움직이는 작은 행렬이 됩니다.,Jean,draft,282_Crimson_Chat_VO_1.wav,1,Crimson Chat. These birds may track rains and small flocks to find areas where food is more abundant.,75
283,Eastern Rosella,동부르오스에르르아새,동부르오스에르르아새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,283_Eastern_Rosella_VO_1.wav,1,Eastern Rosella. This technicolor parrot is native to Australia and Tasmania. It has been introduced to New Zealand.,75
284,Eastern Whipbird,동부우이프브어드새,동부우이프브어드새입니다. 울음소리에는 이 새만의 서명이 담겨 있습니다. 숲이나 들판에서 먼저 들리는 작은 소개장입니다.,Jean,draft,284_Eastern_Whipbird_VO_1.wav,1,Eastern Whipbird. This secretive bird's call is a long note followed by a whipcrack-like noise.,75
285,Emu,에므우새,에므우새입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,285_Emu_VO_1.wav,1,Emu. Some indigenous culture see an emu in the clouds of the Milky Way. It emerges at nesting time.,75
286,Galah,그아르아흐새,그아르아흐새입니다. 울음소리에는 이 새만의 서명이 담겨 있습니다. 숲이나 들판에서 먼저 들리는 작은 소개장입니다.,Jean,draft,286_Galah_VO_1.wav,1,"Galah. A noisy idiot might be called a gala after these gregarious, playful birds.",75
287,Golden Headed Cisticola,금빛머리크이스트이크오르아새,금빛머리크이스트이크오르아새입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,287_Golden_Headed_Cisticola_VO_1.wav,1,Golden Headed Cisticola. The Cisticola constructs well-camouflaged nests out of leaves and spider silk.,75
288,Goulds Finch,그아우르드스되새,그아우르드스되새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,288_Goulds_Finch_VO_1.wav,1,"Goulds Finch, also known as Gouldian Finches, these birds are bred as pets but are rare in the wild.",75
289,Green Pygmy Goose,초록꼬마기러기,초록꼬마기러기입니다. 이름 속에 생김새나 오래된 이야기가 숨어 있습니다. 카드를 볼 때 이름부터 한 번 더 들여다볼 만합니다.,Jean,draft,289_Green_Pygmy_Goose_VO_1.wav,1,"Green Pygmy Goose. This bird's scientific name, Pulcellus, is derived from the Latin word for pretty.",75
290,Grey Butcherbird,그르에이브우트치어브어드새,"그르에이브우트치어브어드새입니다. 먹이를 숨겨 두는 솜씨가 뛰어납니다. 계절이 바뀌기 전, 숲속 곳간을 차근차근 채웁니다.",Jean,draft,290_Grey_Butcherbird_VO_1.wav,1,"Grey Butcherbird. If prey is too large to eat whole, the Butcherbird will store it and tear it into pieces.",75
291,Grey Shrikethrush,그르에이슈러이크에스러우시새,그르에이슈러이크에스러우시새입니다. 울음소리에는 이 새만의 서명이 담겨 있습니다. 숲이나 들판에서 먼저 들리는 작은 소개장입니다.,Jean,draft,291_Grey_Shrikethrush_VO_1.wav,1,"Grey Shrikethrush. This bird is neither a shrike nor a thrush, but it is a predatory bird with a beautiful song.",75
292,Grey Teal,그르에이쇠오리,그르에이쇠오리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,292_Grey_Teal_VO_1.wav,1,Grey Teal. During drought these birds may travel great distances to find water.,75
293,Grey Warbler,그르에이워블러,그르에이워블러입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,293_Grey_Warbler_VO_1.wav,1,Grey Warbler. Grey Warblers build a pear-shaped nest with a side entrance near the top.,75
294,Grey Headed Mannikin,그르에이머리므아느느이크이느새,그르에이머리므아느느이크이느새입니다. 나무 구멍과 틈을 살려 둥지를 마련합니다. 숲의 빈방을 알뜰하게 고르는 건축가입니다.,Jean,draft,294_Grey_Headed_Mannikin_VO_1.wav,1,Grey Headed Mannikin. These birds use grass to build ball-shaped nests high in trees.,75
295,Horsfields Bronze Cuckoo,흐오르스프이르드스브르오느즈에뻐꾸기,흐오르스프이르드스브르오느즈에뻐꾸기입니다. 자기 둥지도 짓지만 남의 둥지에 알을 맡기기도 합니다. 육아 전략이 꽤 대담한 편입니다.,Jean,draft,295_Horsfields_Bronze_Cuckoo_VO_1.wav,1,Horsfields Bronze Cuckoo. This cuckoo mainly lays eggs in fairy-ren nests but it will also parasitize other small birds.,75
296,Horsfields Bushlark,흐오르스프이르드스브우시르아르크새,흐오르스프이르드스브우시르아르크새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,296_Horsfields_Bushlark_VO_1.wav,1,"Horsfields Bushlark. There are 90 species of larks in the world, but this is the only one native to Australia.",75
297,Kakapo,크아크아프오새,크아크아프오새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,297_Kakapo_VO_1.wav,1,Kakapo. This flightless nocturnal parrot is endangered. It only reproduces every three years or so.,75
298,Kea,크이새,크이새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,298_Kea_VO_1.wav,1,Kea. These endangered parrots have been observed making and using tools.,75
299,Kelp Gull,크에르프갈매기,크에르프갈매기입니다. 이름 속에 생김새나 오래된 이야기가 숨어 있습니다. 카드를 볼 때 이름부터 한 번 더 들여다볼 만합니다.,Jean,draft,299_Kelp_Gull_VO_1.wav,1,Kelp Gull. This southern gull's Latin name refers to Dominican monks who wear black and white robes.,75
300,Kereru,크어어우새,크어어우새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,300_Kereru_VO_1.wav,1,"Kereru, this large fruit-eating pigeon also eats flowers and leaves.",75
301,Korimako,크오르이므아크오새,크오르이므아크오새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,301_Korimako_VO_01.wav,01,"Korimako, also known as bellbirds, these are one of many species that benefit from control of invasive rats.",75
302,Laughing Kookaburra,르오이느그크우크아브어르아새,르오이느그크우크아브어르아새입니다. 물가에서 물고기를 노리는 솜씨가 좋습니다. 잔잔한 수면 아래를 놓치지 않는 사냥꾼입니다.,Jean,draft,302_Laughing_Kookaburra_VO_1.wav,1,"Laughing Kookaburra. The name for this large kingfisher comes from Gugubara in We're a Jury, an Aboriginal language.",75
303,Lesser Frigatebird,작은프르이그아트에브어드새,작은프르이그아트에브어드새입니다. 알을 둘러싼 전략이 꽤 대담합니다. 조용한 둥지 안에서도 치열한 이야기가 벌어집니다.,Jean,draft,303_Lesser_Frigatebird_VO_1.wav,1,"Lesser Frigatebird. Frigatebirds love to eat fish and squid, but they also eat seabird eggs.",75
304,Lewins Honeyeater,르에우이느스흐오느에이이트어새,르에우이느스흐오느에이이트어새입니다. 작은 곤충을 놓치지 않는 눈썰미가 있습니다. 숲속의 미세한 움직임도 먹잇감이 됩니다.,Jean,draft,304_Lewins_Honeyeater_VO_1.wav,1,Lewin's Honeyeater. Artist John Lewin came to New South Wales in 1800 to record the birds and insects there.,60
305,Little Penguin,작은프에느그우이느새,작은프에느그우이느새입니다. 먹이를 노릴 때는 물이나 공기 속으로 과감히 뛰어듭니다. 망설임보다 속도가 먼저입니다.,Jean,draft,305_Little_Penguin_VO_1.wav,1,"Little Penguin. These penguins dive to catch fish, sometimes as deep as 50 meters.",75
306,Little Pied Cormorant,작은프이드가마우지,작은프이드가마우지입니다. 울음소리에는 이 새만의 서명이 담겨 있습니다. 숲이나 들판에서 먼저 들리는 작은 소개장입니다.,Jean,draft,306_Little_Pied_Cormorant_VO_1.wav,1,"Little Pied Cormorant. This common diving bird is also called the little shag, or its Maori name, Kawapaka.",75
307,Magpie Lark,까치종다리,까치종다리입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,307_Magpie_Lark_VO_1.wav,1,Magpie Lark. Expanding agriculture has helped the Magpie Lark even as it has harmed forest-dwelling animals.,75
308,Major Mitchells Cockatoo,므아지오르므이트치에르르스크오크아트우새,므아지오르므이트치에르르스크오크아트우새입니다. 큰 유랑 무리를 이루어 다른 새들과 섞입니다. 하늘 위를 떠도는 이동 축제 같습니다.,Jean,draft,308_Major_Mitchells_Cockatoo_VO_1.wav,1,"Major Mitchells Cockatoo. These cockatoos can form large nomadic flocks, but often forage in small groups.",75
309,Malleefowl,므아르르이프오르새,므아르르이프오르새입니다. 둥지를 낮은 곳에 숨겨 새끼를 키웁니다. 땅 가까운 곳에 작은 비밀방을 마련하는 셈입니다.,Jean,draft,309_Malleefowl_VO_1.wav,1,"Malleefowl. A Malleefowl mound nest holds the record for largest ground nest, weighing 299 metric tons.",75
310,Maned Duck,므아느에드오리,므아느에드오리입니다. 무리를 이루면 풍경이 달라집니다. 한 마리가 아니라 하늘을 움직이는 작은 행렬이 됩니다.,Jean,draft,310_Maned_Duckl_VO_1.wav,1,"Maned Duck. In autumn, flocks of maned ducks may spend over half the day eating to build up their fat reserves.",60
311,Many Colored Fruit Dove,므아느이크오르오르에드프르우이트비둘기,므아느이크오르오르에드프르우이트비둘기입니다. 부드러운 울음소리와 씨앗을 먹는 습성이 잘 알려진 새입니다.,Jean,draft,311_Many_Colored_Fruit_Dove_VO_1.wav,1,Many Colored Fruit Dove. This dove depends on two species of fig trees for most of its diet.,75
312,Masked Lapwing,므아스크에드댕기물떼새,므아스크에드댕기물떼새입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,312_Masked_Lapwing_VO_1.wav,1,Masked Lapwing. These birds defend their nests with loud calls and swooping attacks using the spurs on their wings.,75
313,Mistletoebird,므이스트르에트오에브어드새,므이스트르에트오에브어드새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,313_Mistletoebird_VO_1.wav,1,Mistletoebird. Mistletoe fruits make up about 85% of this bird's diet.,75
314,Musk Duck,므우스크오리,므우스크오리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,314_Musk_Duck_VO_1.wav,1,"Musk Duck. This duck's musky odor comes from a gland on its rump, not the hanging lobe of skin under its bill.",75
315,New Holland Honeyeater,느에우흐오르르아느드흐오느에이이트어새,느에우흐오르르아느드흐오느에이이트어새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,315_New_Holland_Honeyeater_VO_1.wav,1,New Holland Honeyeater. Honeyeaters are important pollinators of several plant species.,75
316,Noisy Miner,느오이스이므이느어새,느오이스이므이느어새입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,316_Noisy_Miner_VO_1.wav,1,Noisy Miner. These birds are cooperative breeders with as many as 22 males attending a nest.,75
317,North Island Brown Kiwi,느오르스이스르아느드갈색크이우이새,느오르스이스르아느드갈색크이우이새입니다. 알을 둘러싼 전략이 꽤 대담합니다. 조용한 둥지 안에서도 치열한 이야기가 벌어집니다.,Jean,draft,317_North_Island_Brown_Kiwi_VO_1.wav,1,North Island Brown Kiwi. The Brown Kiwi's egg grows to take up 20% of the mother's body mass before being laid.,75
318,Orange Footed Scrubfowl,주황프우트에드스크우브프오르새,주황프우트에드스크우브프오르새입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,318_Orange_Footed_Scrubfowl_VO_1.wav,1,Orange Footed Scrubfowl. The mound nests of scrubfowl may be as tall as 4.5 meters.,75
319,Pacific Black Duck,프아크이프이크검은오리,프아크이프이크검은오리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,319_Pacific_Black_Duckl_VO_1.wav,1,Pacific Black Duck. Competition with non-native mallards has severely reduced the species numbers in New Zealand.,60
320,Peaceful Dove,프이크에프우르비둘기,프이크에프우르비둘기입니다. 울음소리에는 이 새만의 서명이 담겨 있습니다. 숲이나 들판에서 먼저 들리는 작은 소개장입니다.,Jean,draft,320_Peaceful_Dove_VO_1.wav,1,Peaceful Dove. This bird is sometimes called the doodle-doo because of its distinctive song.,75
321,Pesquets Parrot,프에스쿠에트스앵무,프에스쿠에트스앵무입니다. 강한 부리와 사회적인 행동이 특징인 지능적인 새입니다.,Jean,draft,321_Pesquets_Parrot_VO_1.wav,1,Pesquets parrot. This bird went viral on the internet as the Dracula parrot.,75
322,Pheasant Coucal,꿩,꿩입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,322_Pheasant_Coucal_VO_1.wav,1,"Pheasant Cuckoo. Unlike most other cuckoos, the Pheasant Cuckoo is not a nest parasite.",60
323,Pink Eared Duck,프이느크이르에드오리,프이느크이르에드오리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,323_Pink_Eared_Duck_VO_1.wav,1,Pink Eared Duck. These ducks sometimes spin around in pairs to concentrate food in a vortex.,75
324,Plains Wanderer,프르에이느스우아느드어어새,프르에이느스우아느드어어새입니다. 울음소리에는 이 새만의 서명이 담겨 있습니다. 숲이나 들판에서 먼저 들리는 작은 소개장입니다.,Jean,draft,324_Plains_Wanderer_VO_1.wav,1,Plains Wanderer. This critically endangered bird is the only species in the family Pedionomidae.,75
325,Princess Stephanies Astrapia,프르이느크에스스스트에프아느이스아스트르아프이아새,프르이느크에스스스트에프아느이스아스트르아프이아새입니다. 이름 속에 생김새나 오래된 이야기가 숨어 있습니다. 카드를 볼 때 이름부터 한 번 더 들여다볼 만합니다.,Jean,draft,325_Princess_Stephanies_Astrapia_VO_1.wav,1,Princess Stephanies Astrapia. This bird was named in honor of Princess Stephanie of Belgium in 1884.,75
326,Pukeko,프우크에크오새,프우크에크오새입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,326_Pukeko_VO_1.wav,1,"Pukeko. These birds, also known as swamp hens, may form social groups that share nests and chick raising duties.",75
327,Rainbow Lorikeet,르에이느브오르오르이크이트새,르에이느브오르오르이크이트새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,327_Rainbow_Lorikeet_VO_1.wav,1,Rainbow Lorikeet. Some wild lorikeets are so accustomed to humans they can be hand fed.,75
328,Red Wattlebird,붉은우아트트르에브어드새,붉은우아트트르에브어드새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,328_Red_Wattlebird_VO_1.wav,1,Red Wattlebird. These noisy aggressive birds will drive off smaller birds from a good nectar source.,75
329,Red Backed Fairywren,붉은브아크에드프에이르이우르에느새,붉은브아크에드프에이르이우르에느새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,329_Red_Backed_Fairywren_VO_1.wav,1,Red Backed Fairywren. These birds have been used to study the role that testosterone plays in breeding plumage.,75
330,Red Capped Robin,붉은크아프프에드로빈,붉은크아프프에드로빈입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,330_Red_Capped_Robin_VO_1.wav,1,These robins get their red pigment from food. Red plumage shows that they are healthy and well fed.,60
331,Red Necked Avocet,붉은느에크에드장다리물떼새,붉은느에크에드장다리물떼새입니다. 해안과 습지 가장자리에서 긴 부리로 작은 먹이를 찾아냅니다.,Jean,draft,331_Red_Necked_Avocet_VO_1.wav,1,"Red Necked Avocet. As Avocets sweep their bills from side to side through water, they snap up small invertebrates for food.",75
332,Red Winged Parrot,붉은날개앵무,붉은날개앵무입니다. 구애 행동은 작은 무대 공연 같습니다. 날개와 깃털로 마음을 전하는 방식이 인상적입니다.,Jean,draft,332_Red_Winged_Parrot_VO_1.wav,1,Red Winged Parrot. The male of this species has a blue back that he reveals in his mating display.,75
333,Regent Bowerbird,르에그에느트브오어브어드새,르에그에느트브오어브어드새입니다. 구애 행동은 작은 무대 공연 같습니다. 날개와 깃털로 마음을 전하는 방식이 인상적입니다.,Jean,draft,333_Regent_Bowerbird_VO_1.wav,1,"Bowerbirds decorate their bowers with items like paint, shells, and buttons to attract a mate.",60
334,Royal Spoonbill,르오이아르저어새,르오이아르저어새입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,334_Royal_Spoonbill_VO_1.wav,1,"Royal Spoonbill. Spoonbills nest in colonies, often alongside many other waterbirds.",75
335,Rufous Night Heron,적갈색밤왜가리,적갈색밤왜가리입니다. 알을 둘러싼 전략이 꽤 대담합니다. 조용한 둥지 안에서도 치열한 이야기가 벌어집니다.,Jean,draft,335_Rufous_Night_Heron_VO_1.wav,1,"Rufous Night Heron. In addition to invertebrates and fish, night herons eat eggs and chicks of other wetland birds.",75
336,Rufous Owl,적갈색올빼미,"적갈색올빼미입니다. 밤에 활동하는 맹금류로, 조용히 날아 먹이를 찾는 습성이 두드러집니다.",Jean,draft,336_Rufous_Owl_VO_1.wav,1,"Rufous Owl. This large owl will eat prey as large as possums, scrubfowl, and parrots.",75
337,Rufous Banded Honeyeater,적갈색브아느드에드흐오느에이이트어새,적갈색브아느드에드흐오느에이이트어새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,337_Rufous_Banded_Honeyeater_VO_1.wav,1,Rufous Banded Honeyeater. Honeyeaters have a brush-tipped tongue that they use to gather nectar from flowers.,75
338,Sacred Kingfisher,스아크르에드물총새,스아크르에드물총새입니다. 물가에서 물고기를 노리는 솜씨가 좋습니다. 잔잔한 수면 아래를 놓치지 않는 사냥꾼입니다.,Jean,draft,338_Sacred_Kingfisher_VO_1.wav,1,"Sacred Kingfisher. Despite this bird's name, fish make up a small portion of its diet.",75
339,Silvereye,스이르브어에이에새,스이르브어에이에새입니다. 이름 속에 생김새나 오래된 이야기가 숨어 있습니다. 카드를 볼 때 이름부터 한 번 더 들여다볼 만합니다.,Jean,draft,339_Silvereye_VO_1.wav,1,Silvereye. This bird's name comes from the ring of white feathers around its eye.,75
340,South Island Robin,스아우스이스르아느드로빈,스아우스이스르아느드로빈입니다. 작은 곤충을 놓치지 않는 눈썰미가 있습니다. 숲속의 미세한 움직임도 먹잇감이 됩니다.,Jean,draft,340_South_Island_Robin_VO_1.wav,1,"South Island Robin. These robins search for insects on the ground, then cash extras on branches and in crevices.",75
341,Southern Cassowary,스아우스어느크아스스오아르이새,스아우스어느크아스스오아르이새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,341_Southern_Cassowary_VO_1.wav,1,Southern Cassowary. These aggressive birds are important for dispersing the seeds of large fruits in the rainforest.,75
342,Spangled Drongo,스프아느그르에드바람까마귀,스프아느그르에드바람까마귀입니다. 울음소리에는 이 새만의 서명이 담겨 있습니다. 숲이나 들판에서 먼저 들리는 작은 소개장입니다.,Jean,draft,342_Spangled_Drongo_VO_1.wav,1,Spangled Drongo. This bird makes its own distinctive calls but also mimics other bird species.,75
343,Splendid Fairywren,스프르에느드이드프에이르이우르에느새,스프르에느드이드프에이르이우르에느새입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,343_Splendid_Fairywren_VO_1.wav,1,"Splendid Fairywren. These birds make dome-shaped nests with a side opening, often in a low bush.",75
344,Spotless Crake,스프오트르에스스크르아크에새,스프오트르에스스크르아크에새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,344_Spotless_Crake_VO_1.wav,1,Spotless Crake. The Crake's eyes turn bright red as it matures.,75
345,Stubble Quail,스트우브브르에메추라기,스트우브브르에메추라기입니다. 주로 땅 위에서 생활하며 풀숲과 덤불 사이를 빠르게 오갑니다.,Jean,draft,345_Stubble_Quail_VO_1.wav,1,Stubble Quail. This common quail's kidneys are adapted to need very little water.,75
346,Sulphur Crested Cockatoo,스우르프어볏크오크아트우새,스우르프어볏크오크아트우새입니다. 무리를 이루면 풍경이 달라집니다. 한 마리가 아니라 하늘을 움직이는 작은 행렬이 됩니다.,Jean,draft,346_Sulphur_Crested_Cockatoo_VO_1.wav,1,"Sulphur Crested Cockatoo. While a flock of cockatoos is on the ground to feed, one bird often keeps guard from above.",75
347,Superb Lyrebird,스우프어브르이르에브어드새,스우프어브르이르에브어드새입니다. 구애 행동은 작은 무대 공연 같습니다. 날개와 깃털로 마음을 전하는 방식이 인상적입니다.,Jean,draft,347_Superb_Lyrebird_VO_1.wav,1,Superb Lyrebird. Male lyrebirds attract mates with their huge tails and an extraordinary ability for mimicry.,75
348,Tawny Frogmouth,트오느이개구리입쏙독새,트오느이개구리입쏙독새입니다. 깃털과 자세가 훌륭한 위장복이 됩니다. 눈앞에 있어도 풍경인 척 숨어 버립니다.,Jean,draft,348_Tawny_Frogmouth_VO_1.wav,1,Tawny Frogmouth. These nocturnal birds are masters of camouflage and are often mistaken for broken tree branches.,75
349,Tui,트우이새,트우이새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,349_Tui_VO_1.wav,1,Tui. Maori were known to train these highly territorial birds to imitate human speech.,75
350,Wedge Tailed Eagle,우에드그에꼬리수리,우에드그에꼬리수리입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,350_Wedge_Tailed_Eagle_VO_1.wav,1,"Wedgetailed Eagle. These eagles can take large prey including possums, kangaroos, and wallabies.",60
351,Welcome Swallow,우에르크오므에제비,우에르크오므에제비입니다. 이름 속에 생김새나 오래된 이야기가 숨어 있습니다. 카드를 볼 때 이름부터 한 번 더 들여다볼 만합니다.,Jean,draft,351_Welcome_Swallow_VO_1.wav,1,Welcome Swallow. This bird's name refers to it heralding spring in southern Australia.,75
352,White Bellied Sea Eagle,흰배스이수리,흰배스이수리입니다. 물가에서 물고기를 노리는 솜씨가 좋습니다. 잔잔한 수면 아래를 놓치지 않는 사냥꾼입니다.,Jean,draft,352_White_Bellied_Sea_Eagle_VO_1.wav,1,"White Bellied Sea Eagle. These eagles are skilled fishers and hunters, but also harass smaller raptors and steal prey.",75
353,White Breasted Woodswallow,흰가슴우우드스우아르르오새,흰가슴우우드스우아르르오새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,353_White_Breasted_Woodswallow_VO_1.wav,1,White Breasted Woodswallow. These wood swallows often perch in a tightly packed row when at rest.,75
354,White Faced Heron,흰프아크에드왜가리,흰프아크에드왜가리입니다. 물가에서 물고기를 노리는 솜씨가 좋습니다. 잔잔한 수면 아래를 놓치지 않는 사냥꾼입니다.,Jean,draft,354_White_Faced_Heron_VO_1.wav,1,White Faced Heron. These widespread herons can sometimes be found raiding suburban fishponds.,75
355,Willie Wagtail,우이르르이우아그트에이르새,우이르르이우아그트에이르새입니다. 무리를 이루면 풍경이 달라집니다. 한 마리가 아니라 하늘을 움직이는 작은 행렬이 됩니다.,Jean,draft,355_Willie_Wagtail_VO_1.wav,1,Willie Wagtail. This bird joins mixed species flocks and steals food from smaller birds.,75
356,Wrybill,우르이브이르르새,우르이브이르르새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,356_Wrybill_VO_1.wav,1,Wrybill. The Wrybill's beak always curves to the right. The shape may aid it in foraging under rocks.,75
357,Crested Ibis,볏따오기,볏따오기입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,357_Crested_Ibis_VO_1.wav,1,"Crested Ibis. There were only 10 wild Crested Ibises in the 1980s, but breeding programs are reintroducing them.",75
358,Spoon Billed Sandpiper,스프우느부리도요새,스프우느부리도요새입니다. 울음소리에는 이 새만의 서명이 담겨 있습니다. 숲이나 들판에서 먼저 들리는 작은 소개장입니다.,Jean,draft,358_Spoon_Billed_Sandpiper_VO_1.wav,1,"In 2020, there were thought to be fewer than 200 breeding pairs of this critically endangered bird.",60
359,White Headed Duck,흰머리오리,흰머리오리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,359_White_Headed_Duck_VO_1.wav,1,Droughts and agriculture have dried up the lakes that were this endangered bird's breeding habitat.,60
360,Greater Adjutant,큰아드지우트아느트새,큰아드지우트아느트새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,360_Greater_Adjutant_VO_1.wav,1,Greater Adjutant. Widespread wetland loss led this bird to go from being one of the most common storks to the rarest.,75
361,Indian Vulture,이느드이아느독수리,이느드이아느독수리입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,361_Indian_Vulture_VO_1.wav,1,Indian Vulture. India banned use of diclofenac in cattle in 2008 after it caused the death of millions of vultures.,75
362,Great Indian Bustard,큰이느드이아느브우스트아르드새,큰이느드이아느브우스트아르드새입니다. 울음소리에는 이 새만의 서명이 담겨 있습니다. 숲이나 들판에서 먼저 들리는 작은 소개장입니다.,Jean,draft,362_Great_Indian_Bustard_VO_1.wav,1,"Great Indian Bustard. This critically endangered bird can weigh as much as 18 kilograms, making it the heaviest flying bird.",75
363,Red Crowned Crane,붉은관두루미,붉은관두루미입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,363_Red_Crowned_Crane_VO_1.wav,1,"This endangered crane is associated in different cultures with longevity, purity, and peace.",60
364,Large Billed Crow,르아르그에부리까마귀,르아르그에부리까마귀입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,364_Large_Billed_Crow_VO_1.wav,1,"Large Billed Crow. These gregarious crows will take advantage of almost any food source, living or dead.",75
365,Rook,르우크새,르우크새입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,365_Rook_VO_1.wav,1,Rook. The word rookery comes from these birds who nest in large colonies.,75
366,Brown Shrike,갈색때까치,"갈색때까치입니다. 먹이를 숨겨 두는 솜씨가 뛰어납니다. 계절이 바뀌기 전, 숲속 곳간을 차근차근 채웁니다.",Jean,draft,366_Brown_Shrike_VO_1.wav,1,Brown Shrike. The name lanius means butcher and was given because Shrike store their prey by hanging it.,75
367,Willow Tit,우이르르오트이트새,"우이르르오트이트새입니다. 먹이를 숨겨 두는 솜씨가 뛰어납니다. 계절이 바뀌기 전, 숲속 곳간을 차근차근 채웁니다.",Jean,draft,367_Willow_Tit_VO_1.wav,1,Willow Tit. These birds have been recorded storing up to 200 food items in a day.,75
